video_id,video_title,stream_date,video_url,published_at,duration_seconds,view_count,like_count,comment_sample_count,is_singing_stream,is_member_only,is_upcoming,status,entry_count,song_count,category_count,selected_comment_id,selected_comment_author,selected_comment_is_pinned,selected_comment_timestamp_count,issue,scraped_at
v8mAgyurifQ,【歌回】週末深夜歌回🌸連假一眨眼就過了，陪伴你放鬆入睡zzZ【伴睡歌回 133｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-05,https://www.youtube.com/watch?v=v8mAgyurifQ,2026-04-05T10:58:35-07:00,9846,440,113,2,true,false,false,ok,10,7,3,UgxGuMc-5Da5-4WJAUF4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
xv8mljFv91w,【酒雜】人生第一次酒雜台🍷今天想好好謝謝你們…募資達標了❤️【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-01,https://www.youtube.com/watch?v=xv8mljFv91w,2026-04-01T10:55:59-07:00,12508,522,86,2,true,false,false,ok,11,7,4,Ugy3hvyQDxdNQbNg15J4AaABAg,@MOMO-no3rc,false,11,,2026-05-27T04:50:28.595Z
BSE4uszliuM,【歌回】原創曲募資最後一天🔥 週末深夜歌回：為你獻上溫柔與溫暖的歌聲🌸【伴睡歌回 132｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-29,https://www.youtube.com/watch?v=BSE4uszliuM,2026-03-29T11:12:59-07:00,10592,610,106,4,true,false,false,ok,9,6,3,UgxLC8paajU72f50MhB4AaABAg,@MOMO-no3rc,false,9,,2026-05-27T04:50:28.595Z
QpT4aQsAiCk,"【歌回】時光歌回🌸募資即將達到尾聲啦～快樂的時間總是過得特別快(´,,•ω•,,)♡【Vtuber｜Singing Stream】 #ACGlive #綾音Ring",2026-03-25,https://www.youtube.com/watch?v=QpT4aQsAiCk,2026-03-25T10:50:04-07:00,12968,587,115,3,true,false,false,ok,11,10,1,UgxtDJdawIuKHlzfrU14AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
UoYSNaNHBO8,【歌回】週末深夜歌回🌸一起放鬆聽聽歌結束這個周末吧~【伴睡歌回 131｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-22,https://www.youtube.com/watch?v=UoYSNaNHBO8,2026-03-22T10:43:14-07:00,8948,565,104,2,true,false,false,ok,10,8,2,UgwRO7nSN6PDC915w7t4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
oaW2PVurdMU,【歌回】錢櫃 KTV歌回🌸來唱唱膾炙人口的KTV排行榜金曲！【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-18,https://www.youtube.com/watch?v=oaW2PVurdMU,2026-03-18T10:29:49-07:00,10461,563,107,2,true,false,false,ok,12,8,4,UgzdqwPsK3micSmE4xl4AaABAg,@MOMO-no3rc,false,12,,2026-05-27T04:50:28.595Z
E9qnFUOySt4,【歌回】週末深夜歌回🌸這週辛苦了！唱唱溫柔的歌給你們聽~【伴睡歌回 130｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-15,https://www.youtube.com/watch?v=E9qnFUOySt4,2026-03-15T11:02:26-07:00,10083,630,113,2,true,false,false,ok,11,11,0,UgxE1aLni3gpaTSRz8x4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
UyO5Okc3amk,【歌回】金曲獎歌回🌸帶你回顧那些年的經典歌曲🎤【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-11,https://www.youtube.com/watch?v=UyO5Okc3amk,2026-03-11T10:51:28-07:00,12484,623,109,1,true,false,false,ok,15,12,3,UgzQS3WZPnBLzOl67aF4AaABAg,@MOMO-no3rc,true,15,,2026-05-27T04:50:28.595Z
xP4iiJgHOzQ,【#新衣裝披露】深夜慶祝歌回🌸穿新衣裝就是要唱歌🎤 【伴睡歌回 129｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-08,https://www.youtube.com/watch?v=xP4iiJgHOzQ,2026-03-08T10:41:28-07:00,9114,638,120,3,true,false,false,ok,14,6,8,UgyzMjml37B62TZ3SvZ4AaABAg,@MOMO-no3rc,true,14,,2026-05-27T04:50:28.595Z
2zohPY0u97I,【歌回】一曲成名歌手🎤來唱唱那些經典到不行的歌曲🌸【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-03-04,https://www.youtube.com/watch?v=2zohPY0u97I,2026-03-04T09:55:28-08:00,13137,614,94,1,true,false,false,ok,17,10,7,Ugx6om_nHMPWckR5zHh4AaABAg,@MOMO-no3rc,true,17,,2026-05-27T04:50:28.595Z
NNw9Jf5yYPE,【歌回】電子支付情歌夜🎶情歌也可以刷 LINE Pay 嗎？【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-25,https://www.youtube.com/watch?v=NNw9Jf5yYPE,2026-02-25T09:48:40-08:00,12540,638,104,2,true,false,false,ok,14,9,5,Ugx83-4BmbB00647R254AaABAg,@MOMO-no3rc,true,14,,2026-05-27T04:50:28.595Z
K0sufcwuGJg,【歌回】週末深夜歌回🌸喵喵日襲來！可能會唱些喵喵歌？【伴睡歌回 128｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-22,https://www.youtube.com/watch?v=K0sufcwuGJg,2026-02-22T09:50:35-08:00,9468,621,132,2,true,false,false,ok,9,8,1,UgxAQypn0NhI8TkliAV4AaABAg,@MOMO-no3rc,true,9,,2026-05-27T04:50:28.595Z
6A5ox8lqwxA,【歌回】馬上發財！新年唱唱快樂的歌 #初見歡迎【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-18,https://www.youtube.com/watch?v=6A5ox8lqwxA,2026-02-18T09:10:14-08:00,10195,627,127,2,true,false,false,ok,10,6,4,UgyLPRyG9LEm-yMsmuR4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
qqsVRlujiXA,【歌回】週末深夜歌回🌸聽著熟悉的歌，釋放壓力及焦慮，讓思緒平靜下來。【伴睡歌回 127｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-15,https://www.youtube.com/watch?v=qqsVRlujiXA,2026-02-15T09:50:26-08:00,9230,680,130,1,true,false,false,ok,11,7,4,Ugy4IzKdA7H3OfLLBfB4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
ZFZkiRjc7Ak,【歌回】生肖集合啦！沒有領養證也可以聽的動物神曲 🐱【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-11,https://www.youtube.com/watch?v=ZFZkiRjc7Ak,2026-02-11T09:40:42-08:00,10679,519,113,1,true,false,false,ok,13,7,6,UgyJw4PiFTjYWwCffdp4AaABAg,@MOMO-no3rc,true,13,,2026-05-27T04:50:28.595Z
EdxBhz-H4f4,【歌回】週末深夜歌回🌸唱輕柔的歌陪伴你睡覺zzZ【伴睡歌回 126｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-08,https://www.youtube.com/watch?v=EdxBhz-H4f4,2026-02-08T09:35:18-08:00,8612,665,112,3,true,false,false,ok,11,8,3,Ugz1shWNlP1C-flJXMN4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
osS-z3CeJfQ,【歌回】戀愛歌回🌸來唱一聽就想戀愛的歌曲吧❤️【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-04,https://www.youtube.com/watch?v=osS-z3CeJfQ,2026-02-04T09:57:20-08:00,11748,808,130,1,true,false,false,ok,20,8,12,UgwYj9VoDN6Gi8GOLup4AaABAg,@MOMO-no3rc,true,20,,2026-05-27T04:50:28.595Z
zRcwI1F7Ma0,【歌回】原創金曲募資！啟動！怎麼變舞曲大帝國？！【 Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-02-01,https://www.youtube.com/watch?v=zRcwI1F7Ma0,2026-02-01T09:40:08-08:00,8431,694,136,3,true,false,false,ok,21,3,18,Ugwbk7whGsz7GNbs9Nh4AaABAg,@MOMO-no3rc,true,21,,2026-05-27T04:50:28.595Z
